case_id,a,critical_load
9,0.015,-17.3125437705
9,0.018,-14.4742845765
9,0.021,-12.4532877176
9,0.024,-10.9437217531
9,0.027,-9.77468218048
9,0.03,-8.84400715355
9,0.033,-8.08632601716
9,0.036,-7.4585913479
9,0.039,-6.93070721971
9,0.042,-6.48139652983
9,0.045,-6.0948325615
9,0.048,-5.75912901818
9,0.051,-5.46542552747
9,0.054,-5.20666481437
9,0.057,-4.97745008866
9,0.06,-4.77335390697
9,0.063,-4.59069437596
9,0.066,-4.42661416907
9,0.069,-4.27876658111
9,0.072,-4.14517216766
9,0.075,-4.02408963456
9,0.078,-3.91403772336
9,0.081,-3.81406335431
9,0.084,-3.72293259661
9,0.087,-3.63975141855
9,0.09,-3.56397450754
9,0.093,-3.49473728212
9,0.096,-3.43150886692
9,0.099,-3.37389867917
9,0.102,-3.32131745847
9,0.105,-3.2735322747
9,0.108,-3.23010082931
9,0.111,-3.19076426002
9,0.114,-3.15527785607
9,0.117,-3.12336401984
9,0.12,-3.09488571935
9,0.123,-3.06961281168
9,0.126,-3.04743750915
9,0.129,-3.02817324694
9,0.132,-3.01172480099
9,0.135,-2.99806402295
9,0.138,-2.98685610662
9,0.141,-2.97836797925
9,0.144,-2.97229523379
9,0.147,-2.96867519987
9,0.15,-2.96754550562
9,0.153,-2.96865044909
9,0.156,-2.97224570112
9,0.159,-2.97829359028
9,0.162,-2.98675675729
9,0.165,-2.99793666177
9,0.168,-3.0115750221
9,0.171,-3.02799791274
9,0.174,-3.04723631991
9,0.177,-3.06938541862
9,0.18,-3.094632237
9,0.183,-3.12308291052
9,0.186,-3.15496909674
9,0.189,-3.19042722858
9,0.192,-3.22973481098
9,0.195,-3.27313591521
9,0.198,-3.32089095602
9,0.201,-3.37344045316
9,0.204,-3.43101778262
9,0.207,-3.49421204049
9,0.21,-3.56341126039
9,0.213,-3.63915337177
9,0.216,-3.72229549586
9,0.219,-3.81338515899
9,0.222,-3.91331613371
9,0.225,-4.0233164584
9,0.228,-4.14435555485
9,0.231,-4.2778976223
9,0.234,-4.42568901112
9,0.237,-4.58970860836
9,0.24,-4.77229133083
9,0.243,-4.97632710824
9,0.246,-5.20546344496
9,0.249,-5.46413772421
9,0.252,-5.75774529579
9,0.255,-6.09331431735
9,0.258,-6.47978466284
9,0.261,-6.92895782734
9,0.264,-7.45668382675
9,0.267,-8.08423463438
9,0.27,-8.84160854644
9,0.273,-9.77211489139
9,0.276,-10.9408388353
9,0.279,-12.4500129779
9,0.282,-14.470013385
